GeneAcc,HKR1T1,LIR1T1,HKR2T1,LIR2T1,UIR1T1,LIR3T1,HKR1T2,LIR1T2,HKR2T2,LIR2T2,UIR1T2,LIR3T2,HKR1T3,LIR1T3,HKR2T3,LIR2T3,UIR1T3,LIR3T3
62414289,9388671.0731416,9661244.73800659,22183853.3593164,14087952.8074951,15238546.585702,14028151.7927246,6385638.87312295,7107838.18383789,14061198.5159628,9423122.25524902,10902816.0930464,11216069.322998,4922831.35714387,5121562.35003662,12956268.5122727,7775203.24212646,8935572.60329089,8217043.71081543
27436946,9713291.3159375,8810136.70507813,15646865.9413958,10608148.498291,11686780.1201241,11120678.4765625,6933851.85289259,6088563.50354004,11180739.4846787,8410159.86218262,8167309.44377967,7888381.88256836,6579601.68999042,5848320.2401123,10730433.210831,7253531.26196289,8022282.97272011,7700880.02392578
16507237,17069240.7753265,14779632.538208,21582627.8486285,24229801.9533691,23749508.2466402,21388130.0185547,10214757.3051663,8955721.56762695,12523055.9593808,14220795.6843262,15353495.2089429,14183027.2280273,13013642.2003888,11463806.0836792,16225785.4529181,17700969.7855225,18685018.6314825,17275631.9844971
20070125,23987450.4947581,18469470.8525391,37879598.8016382,34822455.8911743,19470589.4289446,17691751.40625,15017936.0804174,12094386.2817383,23172268.39794,22356042.5097656,13416178.7784799,12264049.0837402,15991072.2030635,12713248.5749512,25671461.6187278,22717464.9090576,13792536.27641,12436581.7492676
5031877,2269530.8766546,3209546.26586914,2615788.74883128,2732990.3001709,4259919.60696401,4506002.73022461,1883615.51750637,2695326.91674805,2209743.4485061,2329813.62817383,3573183.18678352,3866634.13330078,1763433.68067139,2552865.25830078,1555451.2415013,2174499.39587402,3532143.80744758,3996772.78747559
21361657,17995818.2268322,15732187.5854492,14180944.2380115,26512803.6020508,24704337.2518156,22825321.9458008,10210222.1672561,8777281.90820313,7931737.34870892,14924500.8754883,13552444.8896821,12910302.3494873,10446175.8056456,9139097.07543945,8885905.18174289,15327013.4829102,14492789.8827848,13443884.9978027
21735621,7750600.8830135,7457887.23925781,9764829.87418929,12764242.1086426,5735633.77587765,4701855.4921875,5765352.25762706,5349326.15014648,7214593.72335058,9474453.64501953,4102116.00694724,3281369.19274902,5228365.3568451,5192388.21606445,7000074.49545913,8839527.04785156,4399395.78313901,3689211.76245117
50845388,3603700.81006186,4157808.8190918,3665504.55553038,5782068.73803711,4924592.46408317,5551289.75830078,2208453.8343355,2497173.51373291,1948416.0068061,3199078.58508301,3044781.22171221,3447660.58569336,2209788.77016628,2420713.15789795,2393360.36760197,3458510.6081543,2887463.16972171,3274485.28369141
34577059,5625688.36299086,6722275.24755859,7870917.46073819,12553331.6276855,5450822.75326168,6765650.60473633,3990924.57797751,4899349.41918945,5057006.45640446,8792022.96386719,3767626.66418057,4766430.07421875,3304646.05848226,4197654.91162109,4200827.54733837,6688235.44824219,3232246.09292053,3852749.02697754
4507677,2474956.04262419,2359459.88720703,3624114.27615801,4178230.14111328,3809818.58752701,3558212.49707031,1702855.54203657,1514287.89318848,2368496.6625296,2784442.48168945,2303961.70907343,2281496.09228516,1593395.91564564,1590928.95751953,2334650.43062998,2630602.97265625,2234831.43877004,2267650.08227539
