GeneAcc,ProteinAcc,GeneSymbol
62414289,NP_003371.2,VIM
27436946,NP_733821.1,LMNA
16507237,NP_005338.1,HSPA5
20070125,NP_000909.2,P4HB
5031877,NP_005564.1,LMNB1
21361657,NP_005304.3,PDIA3
21735621,NP_005909.2,MDH2
50845388,NP_001002858.1,ANXA2
34577059,NP_001113.2,PLIN2
4507677,NP_003290.1,HSP90B1
5729877,NP_006588.1,HSPA8
735367803,NP_001120963.2; NP_000202.3,ITGB2
12667788,NP_002464.1,MYH9
4758304,NP_004902.1,PDIA4
189083772,NP_001121134.1; NP_001121136.1; NP_001121137.1; NP_937895.1,GSN
4505763,NP_000282.1,PGK1
4757900,NP_004334.1,CALR
4503571,NP_001419.1,ENO1
4505257,NP_002435.1,MSN
14141161,NP_004492.2,HNRNPU
4502107,NP_001145.1,ANXA5
431822403,NP_001258899.1; NP_031381.2; NP_001258898.1,HSP90AB1
332164775,NP_001193725.1,PKM
164663805,NP_689850.2,METTL7B
55770836,NP_057086.2,SCCPDH
5031987,NP_005720.1,PPIF
55956788,NP_005372.2,NCL
24119203,NP_705935.1,TPM3
4503471,NP_001393.1,EEF1A1
157649073,NP_001099000.1; NP_006358.1,CAP1
10863927,NP_066953.1,PPIA
41399285,NP_955472.1; NP_002147.2,HSPD1
4757810,NP_004037.1; NP_001001937.1,ATP5A1
119395750,NP_006112.3,KRT1
195972866,NP_000412.3,KRT10
42794752,NP_004448.2; NP_976251.1,ACSL3
88900491,NP_938149.2,GANAB
62865635,NP_003120.2,SQLE
4557305,NP_000025.1; NP_908932.1,ALDOA
574280091,NP_001276032.1; NP_001276033.1,PRKCSH
24234688,NP_004125.3,HSPA9
613410229,NP_057329.3,HSD17B11
167614506,NP_002289.2,LCP1
4504311,NP_003534.1; NP_003533.1; NP_003530.1; NP_003532.1; NP_003537.1; NP_003535.1; NP_003529.1; NP_003531.1; NP_003536.1; NP_068803.1; NP_003486.1; NP_778224.1; NP_001029249.1; NP_003539.1,HIST1H4H; HIST1H4C; HIST1H4D; HIST1H4K; HIST1H4L; HIST1H4B; HIST1H4A; HIST1H4F; HIST1H4E; HIST1H4J; HIST1H4I; HIST4H4; HIST2H4B; HIST2H4A
4504523,NP_002148.1,HSPE1
10716563,NP_001737.1; NP_001019820.1,CANX
4758950,NP_000933.1,PPIB
4503143,NP_001900.1,CTSD
19923748,NP_001924.2,DLST
4502013,NP_001616.1,AK2
5902076,NP_008855.1,SRSF1
31712030,NP_853553.1,AUP1
32189394,NP_001677.2,ATP5B
190358517,NP_004209.2,RAB11B
10864011,NP_067022.1; NP_001258142.1,SQRDL
14043072,NP_112533.1,HNRNPA2B1
91199540,NP_000099.2,DLD
226529917,NP_001152759.1,TPI1
4503139,NP_001899.1; NP_680090.1; NP_680092.1; NP_680091.1; NP_680093.1,CTSB
213511508,NP_001132929.1,BCAP31
51873036,NP_002532.2,OGDH
4503483,NP_001952.1,EEF2
208973244,NP_001129174.1; NP_003397.1; NP_001129173.1; NP_663723.1; NP_001129172.1; NP_001129171.1,YWHAZ
4506031,NP_000301.1,PPT1
118402586,NP_006699.2,GLO1
32455266,"NP_859048.1; NP_859047.1, NP_002565.1, NP_001189360.1",PRDX1
4502101,NP_000691.1,ANXA1
4557395,NP_000058.1,CA2
544186032,NP_001269633.1,PDIA6
972781703,NP_001305438.1; NP_075266.1,ACSL4
316659409,NP_001186883.1; NP_001605.1,ACTG1
34147513,NP_004628.4,RAB7A
110224476,NP_001035930.1,PSAP
4504981,NP_002296.1,LGALS1
5031635,NP_005498.1,CFL1
183076548,NP_001116847.1; NP_066403.2; NP_001005464.1,HIST2H3D; HIST2H3C; HIST2H3A
7669492,NP_002037.2; NP_001276675.1; NP_001276674.1,GAPDH
4506365,NP_002856.1,RAB2A
17986258,NP_066299.2,MYL6
19923983,NP_612461.1; NP_001129522.1,DHRS1
1002623478,NP_001307627.1; NP_001144.1,ANXA4
5453710,NP_006139.1,LASP1
5453678,NP_006423.1,NPC2
52487191,NP_055866.1,ERP44
4507879,NP_003365.1,VDAC1
93141018,NP_613258.2,H2AFY
4506675,NP_002941.1,RPN1
10835063,NP_002511.1,NPM1
14165439,NP_002131.2; NP_112553.1,HNRNPK
4885381,NP_005313.1,HIST1H1B
340138932,NP_061160.3,APOBR
7661678,NP_056461.1; NP_001010942.1,RAP1B
47933397,NP_001001438.1; NP_002331.3,LSS
4504517,NP_001531.1,HSPB1
38327625,NP_004068.2,CS
183227678,NP_001116849.1; NP_009193.2,PARK7
6031192,NP_005879.1,SLC25A3
4826898,NP_005013.1,PFN1
388240801,NP_116126.3,LMNB2
4506681,NP_001006.1,RPS11
34932414,NP_031389.3; NP_001138880.1; NP_001138881.1,NONO
5803013,NP_006808.1,ERP29
5803187,NP_006746.1,TALDO1
4506381,NP_002863.1,RAC2
72534660,NP_001026854.1,SRSF7
67782305,NP_000627.2; NP_001019636.1,SOD2
284448551,NP_001165131.1,CYB5R3
14141152,NP_005959.2,HNRNPM
13654237,NP_008835.5,PRKDC
4504327,NP_000174.1,HADHB
144226251,NP_001267.2,CHI3L1
4826998,NP_005057.1,SFPQ
20127499,NP_006266.2,SRSF6
255958282,NP_005808.3,PLIN3
469608410,NP_001264153.1,TAGLN2
55956899,NP_000217.2,KRT9
94721250,NP_003565.4,VAPA
193211614,NP_001123237.1; NP_057006.1,NSDHL
34147630,NP_003312.3,TUFM
153792590,NP_001017963.2,HSP90AA1
5453832,NP_006380.1; NP_001124463.1,HYOU1
747165389,NP_001291217.1,RPSA
4758988,NP_004152.1,RAB1A
11128019,NP_061820.1,CYCS
4504151,NP_002078.1,GRN
7657532,NP_055439.1,S100A6
38045913,NP_937818.1,NME1
4505865,NP_002650.1,PLAUR
15150811,NP_150597.1,MRPS36
7705421,NP_057455.1,HSD17B7
7657176,NP_055070.1,CNPY2
4757952,NP_001782.1; NP_001034891.1,CDC42
22538442,NP_001327.2,CTSZ
8922601,NP_060654.1,ARL8B
4758516,NP_004485.1,HDGF
18379366,NP_005848.2,ZMPSTE24
14043070,NP_112420.1,HNRNPA1
555943903,NP_001273201.1,TPT1
10835049,NP_001655.1; NP_001300870.1,RHOA
4507949,NP_003395.1; NP_647539.1,YWHAB
4506699,NP_001015.1,RPS21
18104967,NP_000953.2,PTGS1
15431290,NP_000966.2,RPL11
4885379,NP_005312.1,HIST1H1E
939646432,NP_001303303.1,MDH1
19923233,NP_002970.2,SCP2
4503117,NP_000091.1,CSTB
15431293,NP_002939.2; NP_001240308.1; NP_001240309.1; NP_001240311.1; NP_001240312.1,RPL15
5032057,NP_005611.1,S100A11
260099723,NP_001158886.1,LDHA
31377697,NP_078932.2,COLGALT1
56699409,NP_002130.2,RBMX
6005721,NP_009106.1,ERLIN2
157266300,NP_001141.2,ANPEP
313482810,NP_001186220.1,HSD17B4
98986464,NP_006818.3,TMED10
18379349,NP_006364.2,VAT1
314122177,NP_001186600.1,CALU
4503301,NP_001350.1,DECR1
705044002,NP_001289617.1,APOE
4758638,NP_004896.1,PRDX6
10880989,NP_067075.1,RAB18
354721184,NP_001238968.1,RAB5C
5174447,NP_006089.1,GNB2L1
4557581,NP_001435.1,FABP5
4504041,NP_002061.1,GNAI2
4506663,NP_000964.1; NP_150644.1; NP_001304700.1; NP_001304711.1,RPL8
13775198,NP_112576.1,SH3BGRL3
7706563,NP_057614.1,RAB8B
19923231,NP_002860.2,RAB6A
4557579,NP_001433.1,FABP4
5031873,NP_005561.1,LMAN1
238624110,NP_001154806.1,HIST2H2BF
300934762,NP_001180262.1; NP_009005.1,CORO1A
83627705,NP_005995.2,UQCRH
24797106,NP_055428.1,FAF2
746817424,NP_006004.3; NP_001290553.1; NP_001290554.1,RPL10
5453597,NP_006126.1,CAPZA1
4506901,NP_003008.1,SRSF3
21614525,NP_001439.2,GPC4
28373105,NP_777613.1,ATP2A3
4885281,NP_005262.1,GLUD1
70995211,NP_001389.2,ECH1
937827788,NP_001302466.1,LDHB
10800140,NP_066406.1,HIST1H2BB
15431301,NP_000962.2,RPL7
62420877,NP_001014763.1,ETFB
363498929,NP_001241681.1,UQCRB
4885063,NP_005156.1,ALDOC
16579885,NP_000959.2,RPL4
19923483,NP_057406.2,RAB14
10834978,NP_000575.1,CXCL8
14110420,NP_112738.1,HNRNPD
31543615,NP_004744.2,DHRS3
15055539,NP_002943.2,RPS2
29893557,NP_003334.2,UBE2G2
4504425,NP_002119.1; NP_001300821.1; NP_001300822.1,HMGB1
10835145,NP_000567.1,IL1B
28178832,NP_002159.2,IDH2
256222019,NP_057215.3,RAB10
47086907,NP_060309.2,LPCAT2
14591909,NP_000960.2,RPL5
27894317,NP_776213.1,IL1RN
71773329,NP_001146.2,ANXA6
15431297,NP_000968.2; NP_150254.1,RPL13
19913446,NP_002134.2,HPCA
28416431,NP_056475.1,GIMAP2
779176942,NP_001292553.1,CALM2
4885371,NP_005309.1,H1F0
208022622,NP_001129064.1; NP_002945.1; NP_001170884.1,RPS27A
48255935,NP_000601.3,CD44
384081592,NP_001244900.1; NP_001244901.1; NP_001903.1; NP_666023.1,CTSL
